id,title,price,domain_id,brand
MLA1131372433,Smart Tv Philips 7400 Series 50pud7406/77 Led Android 10 4k 50  110v/240v,164999.0,MLA-TELEVISIONS,Philips
MLA1148941757,Smart Tv Samsung Series 7 Un55au7000gczb Led Tizen 4k 55  220v - 240v,229999.0,MLA-TELEVISIONS,Samsung
MLA1361081893,Smart Tv Tcl 50  4k Hdr Google Tv 50p735-f 220v,159999.0,MLA-TELEVISIONS,TCL
MLA1438347432,Smart Noblex 50  91dk50x6550 4k Sistema Vidaa,179999.0,MLA-TELEVISIONS,Noblex
MLA1381985005,Smart Tv Philips 7400 Series 55pud7406/77 Led 4k 55  110v/240v,207899.0,MLA-TELEVISIONS,Nuevo
MLA1391729686,Smart Tv Samsung Series 6 Qn55q65bagczb Qled Tizen 4k 55  220v - 240v,325999.0,MLA-TELEVISIONS,Samsung
MLA1346132006,Smart Tv 50 Pulgadas 4k Ultra Hd 50uq8050psb - LG,203999.0,MLA-TELEVISIONS,LG
MLA1373168651,Smart Tv Noblex Dr50x7550 Led Android Tv 4k 50  220v,189750.0,MLA-TELEVISIONS,Noblex
MLA1382255183,Smart Tv Marca Skyworth 55g3af Frameless Led 4k 55 Pulgadas Hdr 10 Android Tv Control Por Voz Google Assistant Chromecast Built-in,219988.0,MLA-TELEVISIONS,Skyworth
MLA1379748351,Smart Tv Led 55  Bgh B5522us6a Android,196124.0,MLA-TELEVISIONS,BGH
MLA1155298324,Hyundai Hyled-58uhd4,249599.0,MLA-TELEVISIONS,Hyundai
MLA1150190526,Smart Tv Philips 65pud7906/77,326999.0,MLA-TELEVISIONS,Philips
MLA1311977777,Tv Led 4k 50  Noblex Dk50x7500  Uhd Smart Netflix Tda,184918.0,MLA-TELEVISIONS,Noblex
MLA1468544168,Smart Tv Philips Android 43´´4k Uhd Control Voz 43pud7407/77,195301.0,MLA-TELEVISIONS,Philips
MLA1426527782,Smart Tv LG Ai Thinq 43uq8050psb Lcd Webos 4k 43  100v/240v,167999.0,MLA-TELEVISIONS,LG
MLA1119648586,Smart Tv LG Ai Thinq 43up7750psb Lcd Webos 6.0 4k 43  100v/240v,213600.0,MLA-TELEVISIONS,LG
MLA1150939281,Smart Tv Hyundai Hyled-50uhd5a Android Tv 4k 50  220v,165999.0,MLA-TELEVISIONS,Hyundai
MLA1219428108,Televisor Bgh 50'' Android Tv Negro 4k Ultra Hd Pne040263,163099.0,MLA-TELEVISIONS,BGH
MLA1453156806,Smart Tv Led Hisense 50a64h Uhd 50 Vidaa,134999.0,MLA-TELEVISIONS,Hisense
MLA1389241916,Smart Tv Motorola Mt50g22 Led Full Hd 50  220v,169999.0,MLA-TELEVISIONS,Motorola
MLA1368594751,Smart Tv Samsung Neo Qled 4k Qn43qn90bagczb Qled Tizen 4k 43  220v - 240v,407999.0,MLA-TELEVISIONS,Samsung
MLA1372118223,Televisor Smart Hisense 50a64h 50  Led Uhd 4k,180699.0,MLA-TELEVISIONS,Hisense
MLA1411091794,Smart Tv Samsung Series 7 Un43au7000gczb Led Tizen 4k 43  220v - 240v,285998.9,MLA-TELEVISIONS,Samsung
MLA1403898084,Samsung Neo Qled 4k Qn55qn85ba Qn55qn85bagczb,599999.0,MLA-TELEVISIONS,Samsung
MLA1438673734,Smart Tv Rca And50p6uhd-f Led Google Tv 4k 50  100v/240v,159999.0,MLA-TELEVISIONS,RCA
MLA1467741778,Smart Tv Noblex Dr55x7550pi Led 4k 55'' Con Android Tv,199999.0,MLA-TELEVISIONS,Noblex
MLA1185294209,Smart Tv Samsung Qn55q65bagxzd Qled Tizen 4k 55  100v/240v,379999.0,MLA-TELEVISIONS,Samsung
MLA1426526468,Smart Tv Noblex Dr55x7550 Led 4k 55 Pulgadas Android Tv,199999.0,MLA-TELEVISIONS,Noblex
MLA1362564028,Smart Tv Samsung Neo Qled 4k Qn50qn90bagczb Qled Tizen 4k 50  220v - 240v,612499.0,MLA-TELEVISIONS,Samsung
MLA1300491800,Smart Tv Philips 55pud7906/77 Led Android 10 4k 55  110v/240v,277749.0,MLA-TELEVISIONS,Philips
MLA1141046427,Smart Tv Noblex Dm50x7550 Led Android Tv 4k 50  220v,198699.0,MLA-TELEVISIONS,Noblex
MLA1309827999,Smart Tv Samsung Crystal Uhd Un65bu8000gxzd Led Tizen 4k 65  100v/240v,468749.0,MLA-TELEVISIONS,Samsung
MLA1378871459,Smart Tv Noblex Dk43x5150pi Led Full Hd 43'',129999.0,MLA-TELEVISIONS,Noblex
MLA1382066035,Smart Tv Hisense 9155a64h Led Vidaa 4k 55  220v,189999.0,MLA-TELEVISIONS,Hisense
MLA1223551494,Smart Tv Noblex 55 Pulgadas Dk55x6550 4k Uhd ,220889.0,MLA-TELEVISIONS,Noblex
MLA1381157239,Smart Tv Tcl L55c635 Qled Google Tv 4k 55  220v,349000.0,MLA-TELEVISIONS,TCL
MLA1443921442,Smart Tv Tcl C71-series 55c715 Qled Android Tv 4k 55  100v/240v,329999.0,MLA-TELEVISIONS,TCL
MLA1273668290,Samsung Series 8 Un75bu8000g Un75bu8000gczb,629999.0,MLA-TELEVISIONS,Samsung
MLA1316298630,Tcl Led 55 4k Hdr L55p735 Uhd Google Tv,212289.0,MLA-TELEVISIONS,TCL
MLA1361013100,Smart Tv LG 50 Pulgadas 50uq8050psb 4k Ultra Hd Thinq Ai,198499.0,MLA-TELEVISIONS,LG
MLA1381432139,Smart Tv Skyworth 75  Led 4k Uhd Frameless Google Tv,413999.0,MLA-TELEVISIONS,Skyworth
MLA1130729104,Smart Tv Bgh B5021uh6a Led Android Tv 4k 50  220v,197610.0,MLA-TELEVISIONS,BGH
MLA1378917937,Smart Tv Tcl L55p615 Led Android Pie 4k 55  100v/240v,279999.0,MLA-TELEVISIONS,TCL
MLA1119667622,Smart Tv LG Ai Thinq 50up7750psb Lcd Webos 6.0 4k 50  100v/240v,262834.0,MLA-TELEVISIONS,LG
MLA1426280708,Smart Tv Tcl C635 Series L50c635 Qled Google Tv 4k 50  220v,259999.0,MLA-TELEVISIONS,TCL
MLA1143955887,Smart Tv Samsung Series 7 Un50au7000gczb Led Tizen 4k 50  220v - 240v,213674.0,MLA-TELEVISIONS,Samsung
MLA1347142647,Smart Tv Rca And50fxuhd Led Android 4k 50  100v/240v,178952.0,MLA-TELEVISIONS,RCA
MLA1245972684,Samsung Neo Qled 4k Qn65qn85ba Qn65qn85bagczb,766999.0,MLA-TELEVISIONS,Samsung
MLA1214813564, Smart Tv Noblex Db58x7500 58  Led 4k Android Tv,210999.0,MLA-TELEVISIONS,Noblex
MLA1466972780,Smart Tv Noblex Dk75x7500pi Led Hdr 4k 75'' Con Google Tv,472999.0,MLA-TELEVISIONS,Noblex
MLA1361490489,Smart Tv LG Ai Thinq 55nano80spa Led Webos 6.0 4k 55  100v/240v,339999.0,MLA-TELEVISIONS,LG
MLA1429296468,Smart Tv LG 55nano80sqa Led Webos 22 4k 55  100v/240v,359999.0,MLA-TELEVISIONS,LG
MLA1131868812,Televisor Samsung 55  Smart Tv Crystal Uhd 4k Au7000,287499.0,MLA-TELEVISIONS,Samsung
MLA1420405672,Smart Tv Samsung The Frame Qled 4k 55''  + Marco Beige,499999.0,MLA-TELEVISIONS,Samsung
MLA1465624078,Smart Tv LG Evo Oled55c2psa Webos 22 4k 55  100v/240v,777999.0,MLA-TELEVISIONS,LG
MLA1451166892,Smart Tv Aoc 50u6125/77g Led Roku Os 4k 50  220v,156999.0,MLA-TELEVISIONS,AOC
MLA1429308342,Smart Tv LG Ai Thinq 60uq8050psb Led Webos 22 4k 60  100v/240v,370999.0,MLA-TELEVISIONS,LG
